2026-02-13T09:17:13.672+09:00 DEBUG 63236 --- [backend] [background-preinit] org.jboss.logging                        : Logging Provider: org.jboss.logging.Slf4jLoggerProvider found via system property
2026-02-13T09:17:13.678+09:00 DEBUG 63236 --- [backend] [background-preinit] o.h.v.i.xml.config.ValidationXmlParser   : Trying to load META-INF/validation.xml for XML based Validator configuration.
2026-02-13T09:17:13.679+09:00 DEBUG 63236 --- [backend] [background-preinit] o.h.v.i.xml.config.ResourceLoaderHelper  : Trying to load META-INF/validation.xml via TCCL
2026-02-13T09:17:13.680+09:00 DEBUG 63236 --- [backend] [background-preinit] o.h.v.i.xml.config.ResourceLoaderHelper  : Trying to load META-INF/validation.xml via Hibernate Validator's class loader
2026-02-13T09:17:13.681+09:00 DEBUG 63236 --- [backend] [background-preinit] o.h.v.i.xml.config.ValidationXmlParser   : No META-INF/validation.xml found. Using annotation based configuration only.
2026-02-13T09:17:13.684+09:00 DEBUG 63236 --- [backend] [background-preinit] o.h.v.i.e.resolver.TraversableResolvers  : Cannot find jakarta.persistence.Persistence on classpath. Assuming non JPA 2 environment. All properties will per default be traversable.
2026-02-13T09:17:13.698+09:00 DEBUG 63236 --- [backend] [background-preinit] .h.v.m.ResourceBundleMessageInterpolator : Loaded expression factory via original TCCL
2026-02-13T09:17:13.712+09:00  INFO 63236 --- [backend] [restartedMain] c.i.borrow.backend.BackendApplication    : Starting BackendApplication using Java 21.0.8 with PID 63236 (/Users/jangjiwang/Dev/inha-item-borrow-service/backend/build/classes/java/main started by jangjiwang in /Users/jangjiwang/Dev/inha-item-borrow-service/backend)
2026-02-13T09:17:13.713+09:00 DEBUG 63236 --- [backend] [restartedMain] c.i.borrow.backend.BackendApplication    : Running with Spring Boot v3.5.3, Spring v6.2.8
2026-02-13T09:17:13.714+09:00  INFO 63236 --- [backend] [restartedMain] c.i.borrow.backend.BackendApplication    : No active profile set, falling back to 1 default profile: "default"
2026-02-13T09:17:13.714+09:00 DEBUG 63236 --- [backend] [restartedMain] o.s.boot.SpringApplication               : Loading source class com.inha.borrow.backend.BackendApplication
2026-02-13T09:17:13.737+09:00 DEBUG 63236 --- [backend] [restartedMain] o.s.b.devtools.restart.ChangeableUrls    : Matching URLs for reloading : [file:/Users/jangjiwang/Dev/inha-item-borrow-service/backend/build/resources/main/, file:/Users/jangjiwang/Dev/inha-item-borrow-service/backend/build/classes/java/main/]
2026-02-13T09:17:13.738+09:00 DEBUG 63236 --- [backend] [restartedMain] o.s.b.d.settings.DevToolsSettings        : Included patterns for restart : []
2026-02-13T09:17:13.738+09:00 DEBUG 63236 --- [backend] [restartedMain] o.s.b.d.settings.DevToolsSettings        : Excluded patterns for restart : [/spring-boot-starter-[\w-]+/, /spring-boot/(bin|build|out)/, /spring-boot-starter/(bin|build|out)/, /spring-boot-devtools/(bin|build|out)/, /spring-boot-actuator/(bin|build|out)/, /spring-boot-autoconfigure/(bin|build|out)/]
2026-02-13T09:17:13.738+09:00  INFO 63236 --- [backend] [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-02-13T09:17:13.738+09:00  INFO 63236 --- [backend] [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-02-13T09:17:13.739+09:00 DEBUG 63236 --- [backend] [restartedMain] ConfigServletWebServerApplicationContext : Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@1aebee81
2026-02-13T09:17:13.751+09:00 DEBUG 63236 --- [backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2026-02-13T09:17:13.752+09:00 DEBUG 63236 --- [backend] [background-preinit] .i.e.ValidatorFactoryConfigurationHelper : HV000252: Using org.hibernate.validator.internal.engine.DefaultPropertyNodeNameProvider as property node name provider.
2026-02-13T09:17:13.754+09:00 DEBUG 63236 --- [backend] [background-preinit] .i.e.ValidatorFactoryConfigurationHelper : HV000234: Using org.hibernate.validator.messageinterpolation.ResourceBundleMessageInterpolator as ValidatorFactory-scoped message interpolator.
2026-02-13T09:17:13.754+09:00 DEBUG 63236 --- [backend] [background-preinit] .i.e.ValidatorFactoryConfigurationHelper : HV000234: Using org.hibernate.validator.internal.engine.resolver.TraverseAllTraversableResolver as ValidatorFactory-scoped traversable resolver.
2026-02-13T09:17:13.755+09:00 DEBUG 63236 --- [backend] [background-preinit] .i.e.ValidatorFactoryConfigurationHelper : HV000234: Using org.hibernate.validator.internal.util.ExecutableParameterNameProvider as ValidatorFactory-scoped parameter name provider.
2026-02-13T09:17:13.755+09:00 DEBUG 63236 --- [backend] [background-preinit] .i.e.ValidatorFactoryConfigurationHelper : HV000234: Using org.hibernate.validator.internal.engine.DefaultClockProvider as ValidatorFactory-scoped clock provider.
